Pixel_Index,Ru,Rh,Pd,Ir,Pt
204,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
205,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
206,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
207,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
208,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
209,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
210,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
211,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
212,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
213,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
214,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
215,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
216,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
217,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
218,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
219,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
220,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
221,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
222,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
223,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
224,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
225,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
226,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
227,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
228,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
229,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
230,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
231,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
232,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
233,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
234,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
235,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
236,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
237,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
238,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
239,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
240,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
241,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
242,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
243,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
244,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
245,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
246,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
247,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
248,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
249,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
250,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
251,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
252,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
253,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
254,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
255,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
256,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
257,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
258,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
259,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
260,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
261,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
262,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
263,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
264,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
265,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
266,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
267,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
268,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
269,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
270,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
271,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
272,0.19140625,0.19921875,0.203125,0.1953125,0.2109375
273,0.19140625,0.201171875,0.205078125,0.1953125,0.20703125
274,0.19140625,0.201171875,0.205078125,0.1953125,0.20703125
275,0.19140625,0.201171875,0.203125,0.1953125,0.208984375
276,0.193359375,0.201171875,0.203125,0.1953125,0.20703125
277,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
278,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
279,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
280,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
281,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
282,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
283,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
284,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
285,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
286,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
287,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
288,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
289,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
290,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
291,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
292,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
293,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
294,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
295,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
296,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
297,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
298,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
299,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
300,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
301,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
302,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
303,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
304,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
305,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
306,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
307,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
308,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
309,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
310,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
311,0.1953125,0.19921875,0.201171875,0.1953125,0.208984375
