Local_Index,Global_Index,Ru,Rh,Pd,Ir,Pt
374,509,0.1953125,0.19921875,0.203125,0.193359375,0.208984375
375,510,0.193359375,0.19921875,0.203125,0.1953125,0.208984375
376,511,0.193359375,0.197265625,0.205078125,0.1953125,0.208984375
377,512,0.189453125,0.1953125,0.20703125,0.197265625,0.2109375
378,513,0.181640625,0.19140625,0.2109375,0.19921875,0.216796875
379,514,0.169921875,0.18359375,0.220703125,0.201171875,0.224609375
380,515,0.140625,0.1796875,0.23828125,0.19921875,0.2421875
381,516,0.099609375,0.185546875,0.265625,0.1796875,0.26953125
382,517,0.076171875,0.201171875,0.287109375,0.140625,0.294921875
383,518,0.078125,0.22265625,0.294921875,0.103515625,0.30078125
384,519,0.10546875,0.232421875,0.279296875,0.095703125,0.287109375
385,520,0.14453125,0.2265625,0.25,0.123046875,0.255859375
386,521,0.171875,0.21484375,0.2265625,0.154296875,0.232421875
387,522,0.1796875,0.20703125,0.21484375,0.177734375,0.220703125
388,523,0.18359375,0.203125,0.208984375,0.189453125,0.21484375
389,524,0.181640625,0.201171875,0.20703125,0.1953125,0.21484375
390,525,0.177734375,0.203125,0.208984375,0.197265625,0.212890625
391,526,0.171875,0.203125,0.2109375,0.19921875,0.21484375
392,527,0.169921875,0.205078125,0.2109375,0.197265625,0.216796875
393,528,0.169921875,0.205078125,0.2109375,0.197265625,0.216796875
394,529,0.173828125,0.205078125,0.2109375,0.1953125,0.21484375
395,530,0.1796875,0.205078125,0.208984375,0.1953125,0.2109375
396,531,0.185546875,0.203125,0.20703125,0.1953125,0.208984375
397,532,0.189453125,0.201171875,0.205078125,0.1953125,0.208984375
419,564,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
420,565,0.1953125,0.19921875,0.203125,0.1953125,0.20703125
421,566,0.193359375,0.197265625,0.205078125,0.1953125,0.208984375
422,567,0.193359375,0.19921875,0.205078125,0.193359375,0.208984375
423,568,0.19140625,0.19921875,0.205078125,0.193359375,0.2109375
424,569,0.19140625,0.19921875,0.205078125,0.19140625,0.212890625
425,570,0.193359375,0.19921875,0.205078125,0.19140625,0.2109375
426,571,0.193359375,0.19921875,0.205078125,0.19140625,0.2109375
427,572,0.19140625,0.197265625,0.20703125,0.1953125,0.208984375
428,573,0.1875,0.19140625,0.208984375,0.197265625,0.21484375
429,574,0.177734375,0.181640625,0.216796875,0.201171875,0.22265625
430,575,0.154296875,0.1640625,0.234375,0.20703125,0.240234375
431,576,0.1015625,0.154296875,0.26953125,0.19921875,0.275390625
432,577,0.05078125,0.15625,0.31640625,0.15625,0.3203125
